agent_master_code|Name
100|A.C. MARMO & SONS INC.                            
102|AHART, FRINZI, & SMITH                            
103|AMERICAN INSURANCE SERVICES AGENCY                
104|EARLE H. SLOAN, INC.                              
106|SCIROCCO FINANCIAL GROUP                          
107|BORDEN PERLMAN SALISBURY & KELLY                  
109|USI INSURANCE SERVICES NATIONAL INC.              
110|BOYNTON & BOYNTON                                 
111|TAYLOR SAWYERS INSURANCE AGENCY                   
113|BUDD AGENCY                                       
116|INMAN, KIRCHER, MCBRIDE AGENCY INC.               
118|FELSEN INSURANCE SERVICES INC                     
119|GALLAGHER O'GORMAN & YOUNG                        
120|COMMUNITY INSURANCE ASSOC                         
122|CETTEI & CONNELL INC                              
124|CHRIS FERRY INSURANCE AGENCY                      
125|CLARK & MORRISON INSURANCE                        
126|MCCUE CAPTAINS AGENCY                             
128|J BYRNE AGENCY INC                                
129|HUB INTERNATIONAL                                 
132|D & G SAYLES INSURANCE SERVICES                   
133|DAVIES AND ASSOCIATES                             
134|DISKIN & DISKIN AGENCY INC                        
135|PROFESSIONAL INSURANCE ASSOCIATES                 
136|INSURANCE CENTER                                  
138|F M CHRISTIANO INSURANCE AGENCY                   
140|FELDMAN AGENCY INC                                
141|FENNER & ELSER AGENCY INC                         
142|EHLY-COSENZA INSURANCE                            
143|HAMILTON GROUP LLC                                
145|KENNEDY & WARD INSURANCE AGENCY                   
146|HANSON & RYAN INC                                 
147|JOHN CECCHETTINI INSURANCE AGENCY                 
150|BIS IMPROVED INSURANCE AGENCY                     
151|INSURANCE AGENCIES INC                            
154|ABDALA INSURANCE LLC                              
155|MITCHELL/BATEMAN INSURANCE                        
157| CONNOR STRONG INSURANCE                          
158|MULLANEY INSURANCE ASSOCIATES                     
161|MARSH & MCLENNAN AGENCY LLC                       
163|SASCO INSURANCE INC                               
164|MCCARTHY HILLSIDE INC.                            
165|F MACCORMACK INC                                  
166|CAPACITY COVERAGE COMPANY OF NEW JERSEY           
167|LAUREL COE & ASSOCIATES                           
168|LICHENSTEIN AND SHER AGENCY                       
169|STEWART GROUP                                     
170|WILLIS OF NEW JERSEY INC.                         
173|JAMES C FRANCHINO AGENCY INC                      
175|O'NEILL & ASSOCIATES INC                          
176|FLEET INSURANCE SERVICES                          
177|THE BARCLAY GROUP                                 
178|DONNELLY & SPROUL INC                             
180|E & K AGENCY                                      
181|R P BONANNI AGENCY                                
183|FAIRWAYS INSURANCE SERVICES                       
184|WACHOVIA INSURANCE                                
185|CLYDE PAUL AGENCY INCORPORATED                    
187|ARTHUR J GALLAGHER & CO                           
190|PUFFER AGENCY                                     
193|TRI COUNTY AGENCY OF BRICK                        
194|SB ONE INSURANCE AGENCY, INC.                     
195|RLM AGENCY                                        
197|RONAN AGENCY                                      
198|ASSOCIATION AGENCY INC                            
199|RAMAPO INSURANCE                                  
200|SYPEK & SANDFORD                                  
201|SCHECHNER LIFSON CORPORATION                      
204|JOHN HILL AGENCY                                  
205|FRANK BRAMANTE INSURANCE                          
206|W. FREY & R KEEGAN INSURANCE                      
208|ALFRED ZITO INSURANCE                             
210|BROWN AND BROWN METRO OF NORTH JERSEY             
211|ABBOTT INSURANCE AGENCY                           
212|COSTELLO & ASSOCIATES INSURANCE GROUP             
213|BROWN AND BROWN OF NJ, LLC                        
220|SKYLANDS INSURANCE GROUP, INC                     
222|SASCO MCCLURE INSURANCE                           
224|EVERGREEN INSURANCE & RISK MANAGEMENT             
228|A H MEYERS & COMPANY                              
229|STANFORD AGENCY                                   
230|STANBERRY INSURANCE AGENCY INC                    
234|STEVEN M GEORGE                                   
262|INSURANCE OFFICE OF AMERICA, INC                  
264|WEICHERT INSURANCE AGENCY                         
265|BIONDI INSURANCE AGENCY, INC                      
266|ASSURED PARTNERS OF NEW JERSEY LLC                
267|BROWN & BROWN METRO                               
268|ALLIANCE BROKERAGE                                
269|PHOENIX INSURANCE GROUP INC.                      
281|DAMAN ASSOCIATES INC                              
302|CAPSTONE INSURANCE SERVICES LLC                   
303|THE SECRET INSURANCE AGENCY LLC                   
308|GONZALEZ & COMPANY INSURANCE AGENCY INC           
310|INSURANCE OFFICE OF AMERICA                       
311|LOWER BUCKS INSURANCE GROUP INC                   
312|C B SMITH INSURANCE AGENCY LLC                    
313|VOLK INSURANCE GROUP LLC                          
700|CHEN & ASSOCIATES INC                             
701|JULIUS A ROSE INC                                 
702|SAS INSURANCE AGENCY INC                          
703|THANEXUS FINANCIAL SERVICES, LLC                  
704|THE LEIGH AGENCY                                  
705|MEYER-HARDENBERGH INSURANCE GROUP                 
706|BOB EVANS INSURANCE AGENCY                        
707|THE VAN DYK GROUP                                 
708|CONNELLY CAMPION WRIGHT INSURANCE                 
709|GLENN INSURANCE INC                               
710|THOMAS H. HEIST INSURANCE AGENCY                  
711|KEER HEYER INSURANCE                              
712|MICHAEL J. HOCHRON AGENCY                         
713|CHRISTI INSURANCE GROUP                           
714|CAMPBELL AGENCIES INC                             
715|E. J. DEJOSEPH INSURANCE INC                      
716|ROEHRS & COMPANY, INC                             
717|WILLIAM P SMART ASSOCIATES, INC                   
718|KK INSURANCE AGENCY                               
719|ALL AGENTS GROUP, LLC                             
720|FIVE STAR INSURANCE AGENCY                        
722|INSURANCE INNOVATIONS AGENCY INC                  
723|R K HUGHES INC                                    
724|REINARD INSURANCE AGENCY                          
725|W. BRUCE BEATON COMPANY INC                       
727|BROADWAY INSURANCE AGENCY OF BERGEN COUNTY        
728|CARDOSO INSURANCE AGENCY                          
729|SESTITO FINANCIAL                                 
730|SYLVESTER & KEATING INC                           
731|MILLHAM COMPANIES INC                             
732|LITTLE, MICHAELS & KENNEDY, INC                   
733|ADP STATEWIDE INSURANCE AGENCY                    
734|BIDDLE & COMPANY INSURANCE BROKER                 
735|DEVLIN INSURANCE                                  
736|THE INSURANCE CENTER OF NORTH JERSEY, INC.        
737|AAA INSURANCE AGENCY                              
739|WAGNER-HUFFNAGLE & ASSOCIATES, INC                
740|UNITED COUNTIES INSURANCE GROUP LLC               
741|RUMER FINANCIAL GROUP                             
742|COE-BROOKE INSURANCE AGENCY                       
743|ABCO INSURANCE AGENCY INC                         
744|DALEGROUP INSURANCE & BONDS                       
745|THE FRIEDLANDER GROUP                             
746|EAGLE INSURANCE SERVICES AGENCY                   
747|TONER ORGANIZATION                                
748|BIRTWHISTLE & LVINSTON, INC                       
749|WATERSTONE INSURANCE GROUP INC                    
750|PROVANTAGE INSURANCE & FINANCIAL SERVICE          
751|BEATTY & ASSOCIATES, LLC                          
752|THE WILLIAM J FLYNN CORPORATION                   
753|ANGELO J. DEBELLIS AGENCY LLC                     
754|M L RUBERTON AGENCY                               
755|THE DE GISE AGENCY, INC                           
756|GENERAZIO & ASSOCIATES, INC                       
759|AGA & ASSOCIATES INSURANCE GROUP LLC              
760|SANFORD INSURANCE GROUP LLC                       
761|PASCALE INSURANCE AGENCY INC                      
762|T E FREULER AGENCY INC                            
765|LINKS INSURANCE SERVICES LLC                      
766|NATHAN LANE AGENCY INC                            
767|RICHARD M CORAN, LLC                              
768|BRIDGEPOINT INSURANCE GROUP INC                   
769|UNITED ASSURANCE                                  
770|MONTAGUE INSURANCE AGENCY, LLC                    
771|ASB INSURANCE BROKERAGE                           
772|MIRAMAR INSURANCE AGENCY INC                      
773|JOSEPH F. MCHUGH INSURANCE AGENCY, INC.           
774|JAN M WINHELD                                     
777|C.O.E. INCORPORATED                               
779|THE JOHN MORGAN MCLACHLAN AGENCY INC              
780|BRITTANY INSURANCE NJ, LLC                        
781|EDELMAN INSURANCE MANAGEMENT GROUP, LLC           
782|COOK MARAN & ASSOCIATES, INC                      
